sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs,link_margin_energy_pass,failed_energy_link_margin,bytes_per_joule
7,125,0,433,200,0.317696,1.0,0.317696,2000,635.392000,28,1719,0,0,0,0,198,196,9.90,62.268416,8.895488,546.119424,0.000000,5,20,62.903808,18.108672,61.69
7,31.25,0,433,200,1.270784,1.0,1.270784,1995,2535.214080,96,1650,169,128,41,0,87,80,4.36,101.662720,121.995264,2096.793600,214.762496,5,20,325.320704,0.000000,6.31
7,125,0,433,200,0.317696,1.0,0.317696,2000,635.392000,28,1719,0,0,0,0,198,196,9.90,62.268416,8.895488,546.119424,0.000000,5,20,62.903808,18.108672,61.69
7,125,0,433,200,0.317696,1.0,0.317696,2000,635.392000,28,1719,0,0,0,0,198,196,9.90,62.268416,8.895488,546.119424,0.000000,5,20,62.903808,18.108672,61.69
7,125,0,433,200,0.317696,1.0,0.317696,2000,635.392000,28,1716,0,0,0,0,205,202,10.25,64.174592,8.895488,545.166336,0.000000,5,20,65.127680,17.155584,63.58
7,125,0,433,200,0.317696,1.0,0.317696,2000,635.392000,28,1777,0,0,0,0,192,192,9.60,60.997632,8.895488,564.545792,0.000000,5,20,60.997632,0.953088,60.44
7,125,0,433,200,0.317696,1.0,0.317696,2000,635.392000,28,1716,0,0,0,0,205,202,10.25,64.174592,8.895488,545.166336,0.000000,5,20,65.127680,17.155584,63.58
7,31.25,0,433,200,1.270784,1.0,1.270784,1995,2535.214080,96,1648,163,124,39,0,98,88,4.91,111.828992,121.995264,2094.252032,207.137792,5,20,331.674624,0.000000,6.94
7,31.25,0,433,200,1.270784,1.0,1.270784,1995,2535.214080,96,1648,163,124,39,0,98,88,4.91,111.828992,121.995264,2094.252032,207.137792,5,20,331.674624,0.000000,6.94
7,125,0,433,50,0.097536,1.0,0.097536,2000,195.072000,6,1734,0,0,0,0,209,206,10.45,20.092416,0.585216,169.127424,0.000000,5,20,20.385024,5.266944,52.80
7,125,0,433,50,0.097536,1.0,0.097536,2000,195.072000,6,1736,0,0,0,0,202,200,10.10,19.507200,0.585216,169.322496,0.000000,5,20,19.702272,5.657088,51.26
